descricao_defeito_reclamado,descricao_defeito_constatado_diagnostico,descricao_defeito_constatado_ref
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Sem Condicões de manut. no local,Sem Condicões de manut. no local
Não gela,Sem Condicões de manut. no local,Sem Condicões de manut. no local
Outros,Sem Condicões de manut. no local,Sem Condicões de manut. no local
Troca - Retirada,Sem Condicões de manut. no local,Sem Condicões de manut. no local
SEM_INFORMACAO,Vibração na carcaça,Vibração na carcaça
SEM_INFORMACAO,Vibração na carcaça,Vibração na carcaça
SEM_INFORMACAO,Vibração na carcaça,Vibração na carcaça
SEM_INFORMACAO,Vibração na carcaça,Vibração na carcaça
SEM_INFORMACAO,Vibração na carcaça,Vibração na carcaça
Não gela,Vibração na carcaça,Vibração na carcaça
SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante
SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante
SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante
SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante
SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante
SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante
SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante
SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante
SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante
SEM_INFORMACAO,Vazamento de gás refrigerante,Vazamento de gás refrigerante
Não gela,Vazamento de gás refrigerante,Vazamento de gás refrigerante
Não gela,Vazamento de gás refrigerante,Vazamento de gás refrigerante
SEM_INFORMACAO,Unidade de refrigeração sem gás,Unidade de refrigeração sem gás
SEM_INFORMACAO,Unidade de refrigeração sem gás,Unidade de refrigeração sem gás
SEM_INFORMACAO,Unidade de refrigeração sem gás,Unidade de refrigeração sem gás
SEM_INFORMACAO,Unidade de refrigeração sem gás,Unidade de refrigeração sem gás
SEM_INFORMACAO,Unidade de refrigeração sem gás,Unidade de refrigeração sem gás
SEM_INFORMACAO,Unidade de refrigeração sem gás,Unidade de refrigeração sem gás
SEM_INFORMACAO,Unidade de refrigeração sem gás,Unidade de refrigeração sem gás
SEM_INFORMACAO,Unidade de refrigeração sem gás,Unidade de refrigeração sem gás
SEM_INFORMACAO,Unidade de refrigeração sem gás,Unidade de refrigeração sem gás
Não gela,Unidade de refrigeração sem gás,Unidade de refrigeração sem gás
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
Não gela,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Transformador queimado,Transformador queimado
SEM_INFORMACAO,Tomada desligada,Tomada desligada
SEM_INFORMACAO,Tomada desligada,Tomada desligada
SEM_INFORMACAO,Tomada desligada,Tomada desligada
SEM_INFORMACAO,Tomada desligada,Tomada desligada
SEM_INFORMACAO,Tomada desligada,Tomada desligada
SEM_INFORMACAO,Tomada desligada,Tomada desligada
Não gela,Tomada desligada,Tomada desligada
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Tomada com defeito,Tomada com defeito
Não gela,Tomada com defeito,Tomada com defeito
Outros,Tomada com defeito,Tomada com defeito
SEM_INFORMACAO,Termostato com defeito,Termostato com defeito
SEM_INFORMACAO,Termostato com defeito,Termostato com defeito
SEM_INFORMACAO,Termostato com defeito,Termostato com defeito
SEM_INFORMACAO,Termostato com defeito,Termostato com defeito
SEM_INFORMACAO,Termostato com defeito,Termostato com defeito
SEM_INFORMACAO,Termostato com defeito,Termostato com defeito
SEM_INFORMACAO,Termostato com defeito,Termostato com defeito
SEM_INFORMACAO,Termostato com defeito,Termostato com defeito
SEM_INFORMACAO,Termostato com defeito,Termostato com defeito
SEM_INFORMACAO,Termostato com defeito,Termostato com defeito
